

--------------------[Phase #3 - COMMIT]--------------------

-- phase_3_commit: session ID:2, season ID: 132...

Importing data @ 16-02-2015 13:38.
Committing data_import_session ID:2, season ID: 132...
Committed Swimmer, id: 5612.
Committed Swimmer, id: 5613.
Committed Swimmer, id: 5614.
Committed Swimmer, id: 5615.
Committed Swimmer, id: 5616.
Committed Swimmer, id: 5617.
Committed Swimmer, id: 5618.
Committed Swimmer, id: 5619.
Committed Swimmer, id: 5620.
Committed Swimmer, id: 5621.
Committed Swimmer, id: 5622.
Committed Swimmer, id: 5623.
Committed Swimmer, id: 5624.
Committed Swimmer, id: 5625.
Committed Swimmer, id: 5626.
Committed Swimmer, id: 5627.
Committed Swimmer, id: 5628.
Committed Swimmer, id: 5629.
Committed Swimmer, id: 5630.
Committed Swimmer, id: 5631.
Committed Swimmer, id: 5632.
Committed Swimmer, id: 5633.
Committed Swimmer, id: 5634.
Committed Swimmer, id: 5635.
Committed Swimmer, id: 5636.
Committed Swimmer, id: 5637.
Committed Swimmer, id: 5638.
Committed Swimmer, id: 5639.
Committed Swimmer, id: 5640.
Committed Swimmer, id: 5641.
Committed Swimmer, id: 5642.
Committed Swimmer, id: 5643.
Committed Swimmer, id: 5644.
Committed Swimmer, id: 5645.
Committed Swimmer, id: 5646.
Committed Swimmer, id: 5647.
Committed Swimmer, id: 5648.
Committed Swimmer, id: 5649.
Committed Swimmer, id: 5650.
Committed Swimmer, id: 5651.
Committed Swimmer, id: 5652.
Committed Swimmer, id: 5653.
Committed Swimmer, id: 5654.
Committed Swimmer, id: 5655.
Committed Swimmer, id: 5656.
Committed Swimmer, id: 5657.
Committed Swimmer, id: 5658.
Committed Swimmer, id: 5659.
Committed Swimmer, id: 5660.
Committed Swimmer, id: 5661.
Committed Swimmer, id: 5662.
Committed Swimmer, id: 5663.
Committed Swimmer, id: 5664.
Committed Swimmer, id: 5665.
Committed Swimmer, id: 5666.
Committed Swimmer, id: 5667.
Committed Swimmer, id: 5668.
Committed Swimmer, id: 5669.
Committed Swimmer, id: 5670.
Committed Swimmer, id: 5671.
Committed Swimmer, id: 5672.
Committed Swimmer, id: 5673.
Committed Swimmer, id: 5674.
Committed Swimmer, id: 5675.
Committed Swimmer, id: 5676.
Committed Swimmer, id: 5677.
Committed Swimmer, id: 5678.
Committed Swimmer, id: 5679.
Committed Swimmer, id: 5680.
Committed Swimmer, id: 5681.
Committed Swimmer, id: 5682.
Committed Swimmer, id: 5683.
Committed Swimmer, id: 5684.
Committed Swimmer, id: 5685.
Committed Swimmer, id: 5686.
