

--------------------[Phase #3 - COMMIT]--------------------

-- phase_3_commit: session ID:1, season ID: 132...

Importing data @ 16-02-2015 13:05.
Committing data_import_session ID:1, season ID: 132...
Committed TeamAffiliation, id: 515.
Added new TeamAffiliation, ID:516.
Committed Team, id: 299.
Committed TeamAffiliation, id: 516.
Added new TeamAffiliation, ID:517.
Committed Team, id: 300.
Committed TeamAffiliation, id: 517.
Added new TeamAffiliation, ID:518.
Committed Team, id: 301.
Committed TeamAffiliation, id: 518.
Added new TeamAffiliation, ID:519.
Committed Team, id: 302.
Committed TeamAffiliation, id: 519.
Added new TeamAffiliation, ID:520.
Committed Team, id: 303.
Committed TeamAffiliation, id: 520.
Added new TeamAffiliation, ID:521.
Committed Team, id: 304.
Committed TeamAffiliation, id: 521.
Added new TeamAffiliation, ID:522.
Committed Team, id: 305.
Committed TeamAffiliation, id: 522.
Added new TeamAffiliation, ID:523.
Committed Team, id: 306.
Committed TeamAffiliation, id: 523.
Added new TeamAffiliation, ID:524.
Committed Team, id: 307.
Committed TeamAffiliation, id: 524.
Added new TeamAffiliation, ID:525.
Committed Team, id: 308.
Committed TeamAffiliation, id: 525.
Added new TeamAffiliation, ID:526.
Committed Team, id: 309.
Committed TeamAffiliation, id: 526.
Added new TeamAffiliation, ID:527.
Committed Team, id: 310.
Committed TeamAffiliation, id: 527.
Added new TeamAffiliation, ID:528.
Committed Team, id: 311.
Committed TeamAffiliation, id: 528.
Added new TeamAffiliation, ID:529.
Committed Team, id: 312.
Committed TeamAffiliation, id: 529.
Added new TeamAffiliation, ID:530.
Committed Team, id: 313.
Committed TeamAffiliation, id: 530.
Added new TeamAffiliation, ID:531.
Committed Team, id: 314.
Committed TeamAffiliation, id: 531.
Added new TeamAffiliation, ID:532.
Committed Team, id: 315.
Committed TeamAffiliation, id: 532.
Added new TeamAffiliation, ID:533.
Committed Team, id: 316.
Committed TeamAffiliation, id: 533.
Added new TeamAffiliation, ID:534.
Committed Team, id: 317.
Committed TeamAffiliation, id: 534.
Added new TeamAffiliation, ID:535.
Committed Team, id: 318.
Committed TeamAffiliation, id: 535.
Added new TeamAffiliation, ID:536.
Committed Team, id: 319.
Committed TeamAffiliation, id: 536.
Added new TeamAffiliation, ID:537.
Committed Team, id: 320.
Committed TeamAffiliation, id: 537.
Added new TeamAffiliation, ID:538.
Committed Team, id: 321.
Committed TeamAffiliation, id: 538.
Committed Swimmer, id: 4872.
Committed Swimmer, id: 4873.
Committed Swimmer, id: 4874.
Committed Swimmer, id: 4875.
Committed Swimmer, id: 4876.
Committed Swimmer, id: 4877.
Committed Swimmer, id: 4878.
Committed Swimmer, id: 4879.
Committed Swimmer, id: 4880.
Committed Swimmer, id: 4881.
Committed Swimmer, id: 4882.
Committed Swimmer, id: 4883.
Committed Swimmer, id: 4884.
Committed Swimmer, id: 4885.
Committed Swimmer, id: 4886.
Committed Swimmer, id: 4887.
Committed Swimmer, id: 4888.
Committed Swimmer, id: 4889.
Committed Swimmer, id: 4890.
Committed Swimmer, id: 4891.
